################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.3872586613351605E+00 a       405     1     6     2     5
  8.7793150930460007E-01 a       406     1     6     2     6
  7.5363388452978217E+00 a       407     1     6     2     7
 -3.3927919602012708E+00 a       408     1     6     2     8
 -1.8385131681194622E+00 a       409     1     6     2     9
 -2.2786188564557217E+00 a       410     1     6     2    10
 -5.3519265858135580E-02 a       411     1     7     2     1
 -2.0342027267569542E+00 a       412     1     7     2     2
  1.6788734649376413E+00 a       413     1     7     2     3
  3.6466431752616296E-01 a       414     1     7     2     4
  5.5825361723932021E-01 a       415     1     7     2     5
  1.1722149119082184E+00 a       416     1     7     2     6
  5.9404278536865824E+00 a       417     1     7     2     7
 -2.2398421271154354E+00 a       418     1     7     2     8
 -1.8677422107284289E+00 a       419     1     7     2     9
 -1.1141873510334197E+00 a       420     1     7     2    10
 -3.0401819385745283E+00 a       421     1     8     2     1
  1.0424142726250214E+00 a       422     1     8     2     2
  1.6967753530921523E+00 a       423     1     8     2     3
  7.7285689340497310E-01 a       424     1     8     2     4
 -2.1871855072293184E-01 a       425     1     8     2     5
  9.2430612178901361E-01 a       426     1     8     2     6
 -8.7670098158115684E-01 a       427     1     8     2     7
  5.0433551418673039E-01 a       428     1     8     2     8
 -1.8132221180161576E-01 a       429     1     8     2     9
 -2.7721894902193540E+00 a       430     1     8     2    10
 -1.8020973120923365E+00 a       431     1     9     2     1
  3.5200060545945577E+00 a       432     1     9     2     2
 -2.0615515950317880E+00 a       433     1     9     2     3
 -2.7133737869530670E+00 a       434     1     9     2     4
  5.5491825491658924E+00 a       435     1     9     2     5
 -3.6237523939058547E+00 a       436     1     9     2     6
  4.1111625020219336E+00 a       437     1     9     2     7
 -4.1353054768578410E+00 a       438     1     9     2     8
 -1.0555097598989320E+00 a       439     1     9     2     9
 -4.3628315246588301E+00 a       440     1     9     2    10
  7.2436044294968627E-01 a       441     1    10     2     1
  2.5217093162981064E-01 a       442     1    10     2     2
 -5.9271215627126239E-01 a       443     1    10     2     3
  8.1926598954294017E-01 a       444     1    10     2     4
 -1.2018299534880799E+00 a       445     1    10     2     5
 -1.1511128622573488E+00 a       446     1    10     2     6
 -3.2540882452483779E+00 a       447     1    10     2     7
 -1.8828611928386740E+00 a       448     1    10     2     8
  2.8913243647070339E+00 a       449     1    10     2     9
  3.7953934802974745E+00 a       450     1    10     2    10
  1.7885261912610364E+00 b       451     2     1
 -2.1457063576874660E+00 b       452     2     2
 -2.7596889504806881E+00 b       453     2     3
 -1.0254486543120943E-01 b       454     2     4
 -1.1771574899999222E+00 b       455     2     5
 -6.3077695355861851E-01 b       456     2     6
 -7.4869992636111800E+00 b       457     2     7
  6.0100161169224542E+00 b       458     2     8
 -3.2180970601280925E+00 b       459     2     9
  1.1175961738171480E+00 b       460     2    10
 -1.6494753749426110E+00 a       461     2     1     3     1
 -2.6368456885919813E+00 a       462     2     2     3     1
  1.3159292941014771E+00 a       463     2     3     3     1
 -2.5339309446890028E+00 a       464     2     4     3     1
 -1.5282808857687309E+00 a       465     2     5     3     1
 -2.0639416013212526E+00 a       466     2     6     3     1
 -1.4318530748920855E+00 a       467     2     7     3     1
  2.3688447811212074E+00 a       468     2     8     3     1
  3.1242187230754053E+00 a       469     2     9     3     1
  4.0346113897809106E+00 a       470     2    10     3     1
  4.2051902428423906E+00 b       471     3     1
